,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Louvre,48.8611473,2.33802768704666,Musée du Louvre,48.86084691113991,2.336440086364746,Art Museum
1,Louvre,48.8611473,2.33802768704666,Cour Carrée du Louvre,48.8603598795578,2.3385429382324214,Pedestrian Plaza
2,Louvre,48.8611473,2.33802768704666,La Vénus de Milo (Vénus de Milo),48.859943428504316,2.3372340202331543,Exhibit
3,Louvre,48.8611473,2.33802768704666,Cour Napoléon,48.86117159622847,2.3350882530212402,Plaza
4,Louvre,48.8611473,2.33802768704666,Place du Palais Royal,48.862523381679345,2.336687635654229,Plaza
5,Louvre,48.8611473,2.33802768704666,Comédie-Française,48.863087901186134,2.336611747741699,Theater
6,Louvre,48.8611473,2.33802768704666,Palais Royal,48.86323576771446,2.3371267318725586,Historic Site
7,Louvre,48.8611473,2.33802768704666,Place du Louvre,48.859841,2.340822,Plaza
8,Louvre,48.8611473,2.33802768704666,Le Fumoir,48.86042428799186,2.3408684134483337,Cocktail Bar
9,Louvre,48.8611473,2.33802768704666,Le Café Blanc,48.862719,2.339578,Bar
10,Louvre,48.8611473,2.33802768704666,Christian Louboutin,48.86269669087095,2.3407570303733496,Shoe Store
11,Louvre,48.8611473,2.33802768704666,Pont des Arts,48.85856468168776,2.3376350104808807,Bridge
12,Louvre,48.8611473,2.33802768704666,모나리자 / 라 조콘다 (Mona Lisa | La Joconde),48.86013915274212,2.3353367567879104,Exhibit
13,Louvre,48.8611473,2.33802768704666,Place Colette,48.86314532311905,2.3359428401856035,Plaza
14,Louvre,48.8611473,2.33802768704666,Vestige de la Forteresse du Louvre,48.86157701632968,2.3335077597365377,Historic Site
15,Louvre,48.8611473,2.33802768704666,Grand Hôtel du Palais Royal,48.86318291896972,2.3379009305339022,Hotel
16,Louvre,48.8611473,2.33802768704666,Église Saint-Germain-l'Auxerrois (Église Saint-Germain l'Auxerrois),48.859519915404825,2.3413056135177612,Church
17,Louvre,48.8611473,2.33802768704666,La Régalade Saint-Honoré,48.861619829461404,2.3417487166534374,French Restaurant
18,Louvre,48.8611473,2.33802768704666,Le Nemours,48.863149659333565,2.3365500569343567,Café
19,Louvre,48.8611473,2.33802768704666,Pret A Manger,48.86181143006031,2.341311331482022,Sandwich Place
20,Louvre,48.8611473,2.33802768704666,La Clef Louvre Paris  ,48.86397721115658,2.336139678955078,Hotel
21,Louvre,48.8611473,2.33802768704666,Coffee Crêpes,48.85884059518823,2.3408023161365143,Coffee Shop
22,Louvre,48.8611473,2.33802768704666,Boutique yam'Tcha,48.8617098431057,2.342380022000763,Chinese Restaurant
23,Louvre,48.8611473,2.33802768704666,Carrousel du Louvre,48.861641527291056,2.3342170930602695,Shopping Mall
24,Louvre,48.8611473,2.33802768704666,Jardin du Palais Royal,48.86494061245833,2.3377275466918945,Garden
25,Louvre,48.8611473,2.33802768704666,Pylones,48.86141901715472,2.3341425382245804,Gift Shop
26,Louvre,48.8611473,2.33802768704666,LouLou,48.86280381272633,2.333500385284424,Italian Restaurant
27,Louvre,48.8611473,2.33802768704666,Les Arts Décoratifs,48.863077314067475,2.333393096923828,Art Museum
28,Louvre,48.8611473,2.33802768704666,Café Kitsuné,48.863982504620985,2.335793673992157,Coffee Shop
29,Louvre,48.8611473,2.33802768704666,"Pavillon des Sessions – Arts d'Afrique, d'Asie, d'Océanie et des Amériques",48.860724043718605,2.332121414307368,Art Museum
30,Louvre,48.8611473,2.33802768704666,Le Pot de Vins,48.86432169778438,2.3401925360185167,Restaurant
31,Louvre,48.8611473,2.33802768704666,Le Louis,48.864330749172225,2.341332062576144,French Restaurant
32,Louvre,48.8611473,2.33802768704666,Hapimag Resort Paris,48.86139214526471,2.3426211540259705,Hotel
33,Louvre,48.8611473,2.33802768704666,Kosyuen 華修園,48.864163247442406,2.3335674783429994,Tea Room
34,Louvre,48.8611473,2.33802768704666,Aesop,48.86415807641022,2.3336009265391215,Cosmetics Shop
35,Louvre,48.8611473,2.33802768704666,Buly 1803,48.857146395868874,2.33503927183584,Cosmetics Shop
36,Louvre,48.8611473,2.33802768704666,Jardins du Carrousel (Jardin du Carrousel),48.86205640499456,2.3324446522511044,Garden
37,Louvre,48.8611473,2.33802768704666,Cafés Verlet,48.86408827729653,2.33387790620327,Café
38,Louvre,48.8611473,2.33802768704666,Les Fines Gueules,48.865171886388225,2.340644784271717,French Restaurant
39,Louvre,48.8611473,2.33802768704666,Sanukiya,48.86471330060748,2.333805151283741,Udon Restaurant
40,Louvre,48.8611473,2.33802768704666,Cibus,48.864756557484355,2.335376590490341,Italian Restaurant
41,Louvre,48.8611473,2.33802768704666,Ellsworth,48.865527916411786,2.337056774451994,French Restaurant
42,Louvre,48.8611473,2.33802768704666,Kodawari Ramen (Tsukiji),48.864383041804516,2.3362965881824493,Ramen Restaurant
43,Louvre,48.8611473,2.33802768704666,Takara,48.86496443258523,2.3359157145023346,Japanese Restaurant
44,Louvre,48.8611473,2.33802768704666,Square du Vert Galant,48.85739898281921,2.340159919035473,Park
45,Louvre,48.8611473,2.33802768704666,Astier de Villatte,48.86409488281954,2.33380824705502,Furniture / Home Store
46,Louvre,48.8611473,2.33802768704666,Boulangerie Julien,48.86125113181775,2.344170396841888,Bakery
47,Louvre,48.8611473,2.33802768704666,Guy Savoy,48.857085019941806,2.3388068135574938,French Restaurant
48,Louvre,48.8611473,2.33802768704666,Monnaie de Paris,48.85683338028305,2.3390582159751068,Museum
49,Louvre,48.8611473,2.33802768704666,Nolinski,48.8653672585173,2.334584093466682,Hotel
50,Louvre,48.8611473,2.33802768704666,Café Kitsuné,48.86543988887562,2.3375840216232477,Café
51,Louvre,48.8611473,2.33802768704666,Nodaiwa,48.86435425075339,2.3331572600591257,Japanese Restaurant
52,Louvre,48.8611473,2.33802768704666,Udon Bistro Kunitoraya (Kunitoraya),48.865884035205355,2.336782068014145,Udon Restaurant
53,Louvre,48.8611473,2.33802768704666,Place des Pyramides,48.863924276481605,2.332223653793335,Plaza
54,Louvre,48.8611473,2.33802768704666,Place des Victoires,48.865759373109775,2.341219220887502,Plaza
55,Louvre,48.8611473,2.33802768704666,Brasserie Réjane,48.865485991272,2.3348240554332733,Restaurant
56,Louvre,48.8611473,2.33802768704666,Legrand Filles et Fils,48.866260970474386,2.3395365694081507,Wine Shop
57,Louvre,48.8611473,2.33802768704666,Théâtre du Palais-Royal,48.86600524368278,2.3376850883287545,Theater
58,Louvre,48.8611473,2.33802768704666,Restaurant Kunitoraya,48.86611572520175,2.3364669084548946,Japanese Restaurant
59,Louvre,48.8611473,2.33802768704666,JanTchi,48.86600128752999,2.335976674778051,Korean Restaurant
60,Louvre,48.8611473,2.33802768704666,Place Dauphine,48.85663993129474,2.342362403869629,Plaza
61,Louvre,48.8611473,2.33802768704666,L'Hotel,48.85637674082885,2.33519300383645,Hotel
62,Louvre,48.8611473,2.33802768704666,Le Grand Véfour,48.865986232957,2.337898549928304,French Restaurant
63,Louvre,48.8611473,2.33802768704666,59 Rivoli,48.859172279057745,2.3456481099128723,Art Gallery
64,Louvre,48.8611473,2.33802768704666,Hôtel Le Pradey,48.86445923930909,2.33165399481692,Hotel
65,Louvre,48.8611473,2.33802768704666,Chez Nous,48.855823217287835,2.340271085661046,Wine Bar
66,Louvre,48.8611473,2.33802768704666,Verjus Bar à Vins,48.86630556463485,2.3374713957309723,Wine Bar
67,Louvre,48.8611473,2.33802768704666,Boulangerie Aki,48.86621097624905,2.335457623784485,Bakery
68,Louvre,48.8611473,2.33802768704666,Télescope,48.86614042697531,2.3363059759140015,Coffee Shop
69,Louvre,48.8611473,2.33802768704666,Verjus,48.86639803045864,2.3373547196388245,French Restaurant
70,Louvre,48.8611473,2.33802768704666,Galerie Vivienne,48.86673055550591,2.339799701984434,Historic Site
71,Louvre,48.8611473,2.33802768704666,Bistrot Victoires,48.86552339307843,2.3403647694601255,Bistro
72,Louvre,48.8611473,2.33802768704666,Willi's Wine Bar,48.866311115770245,2.3383002959921697,Wine Bar
73,Louvre,48.8611473,2.33802768704666,La Rotonde St. Honoré,48.86458252806462,2.3327020437479082,French Restaurant
74,Louvre,48.8611473,2.33802768704666,Au Vieux Comptoir,48.85889313897845,2.3461287908631747,French Restaurant
75,Louvre,48.8611473,2.33802768704666,Grand Bassin Rond,48.862879687441755,2.3292946815490723,Fountain
76,Louvre,48.8611473,2.33802768704666,Ô Château,48.8642903126219,2.344181584057651,Wine Bar
77,Louvre,48.8611473,2.33802768704666,Danico,48.86707072006055,2.339413647446296,Cocktail Bar
78,Louvre,48.8611473,2.33802768704666,LEGO® Store,48.86181771883298,2.3471906738969803,Toy / Game Store
79,Louvre,48.8611473,2.33802768704666,Le Comptoir de la Gastronomie,48.864555479743366,2.345258763984336,French Restaurant
80,Louvre,48.8611473,2.33802768704666,Daroco,48.867130252296214,2.339242994785309,Italian Restaurant
81,Louvre,48.8611473,2.33802768704666,Le Moulin de la Vierge,48.86620190566684,2.3411547392606735,Bakery
82,Louvre,48.8611473,2.33802768704666,Prescription Cocktail Club,48.854921,2.337768,Cocktail Bar
83,Louvre,48.8611473,2.33802768704666,Maison Kitsuné,48.866372,2.337087,Clothing Store
84,Louvre,48.8611473,2.33802768704666,On the Bab,48.86641655668545,2.335109710693359,Korean Restaurant
85,Louvre,48.8611473,2.33802768704666,Omusubi Gonbei,48.866607111762995,2.337256819009781,Japanese Restaurant
86,Louvre,48.8611473,2.33802768704666,Le Roch Hotel & Spa Paris,48.86620012005232,2.3329946840505174,Hotel
